f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39
-46.3159,-50.5154,-53.761,-57.9525,-60.8786,-63.3411,-65.7999,-67.5941,-68.5417,-69.8246,-76.4193,-80.3256,-85.6474,-86.8423,-85.5294,-80.3518,-79.1728,-78.1618,-78.2614,-79.2231,-80.9281,-83.4107,-91.8349,-89.7147,-86.2548,-85.2841,-86.1434,-90.8786,-91.6942,-88.3924,-88.8595,-93.6238,-91.9665,-91.1218,-94.8849,-93.5371,-95.1743,-94.3385,-95.7851,-96.2262
-32.3877,-36.6767,-42.1746,-46.0311,-49.019,-51.7363,-54.1723,-56.3515,-58.0192,-58.9368,-63.668,-68.5662,-75.6419,-76.6685,-73.6925,-69.8725,-67.5662,-66.3478,-66.8344,-68.1151,-69.5816,-73.066,-82.5322,-79.481,-74.5855,-73.9946,-74.9515,-81.7165,-81.1853,-76.9619,-77.8617,-84.4909,-80.8982,-80.3352,-86.0739,-82.8373,-86.3526,-84.0199,-86.9286,-87.2174
-29.5981,-36.1884,-42.5987,-46.1581,-49.3953,-52.0001,-54.1527,-56.1637,-58.2877,-58.469,-61.0165,-64.4061,-66.7647,-68.0745,-68.0243,-66.8463,-66.8879,-66.5346,-66.8204,-68.1891,-69.6071,-71.9346,-75.8772,-76.0005,-74.0085,-74.0153,-74.8531,-78.6593,-78.8611,-76.8227,-77.679,-81.5244,-80.2627,-80.1722,-83.1643,-81.8659,-84.0607,-83.1469,-84.5435,-84.8524
-34.6886,-41.6518,-47.0274,-50.553,-53.1877,-55.4378,-57.2632,-58.8892,-60.675,-60.9957,-61.4944,-63.6477,-64.9989,-66.3641,-67.0712,-66.6936,-68.7429,-69.9491,-70.1612,-71.1873,-72.6335,-73.2536,-74.3833,-75.5788,-76.0587,-77.1851,-77.7119,-78.3335,-79.0727,-79.5664,-80.2732,-81.2669,-82.1715,-82.777,-82.9099,-83.3133,-84.1615,-84.6616,-84.599,-84.9014
-44.4403,-49.2448,-52.7045,-56.2447,-59.4684,-61.6234,-63.9332,-65.4987,-66.8655,-67.8359,-71.3699,-73.5534,-75.6156,-76.8898,-77.4282,-76.0901,-76.4477,-76.3804,-76.5445,-77.5118,-79.0981,-80.8691,-84.5585,-84.9151,-83.7052,-83.5614,-84.2971,-87.1351,-87.8633,-86.4005,-86.9655,-89.9916,-89.6044,-89.3088,-91.4707,-91.0039,-92.2606,-92.0421,-92.8056,-93.1669
-31.3635,-36.335,-42.1668,-46.0304,-48.4068,-51.7544,-53.9929,-55.9749,-57.6067,-58.6407,-62.9068,-66.9829,-71.6908,-72.9255,-72.4552,-69.0161,-67.0343,-66.0815,-66.6287,-67.8326,-69.3155,-72.481,-79.5033,-77.9453,-74.1606,-73.5794,-74.619,-80.3668,-80.1826,-76.6433,-77.524,-83.3793,-80.4586,-80.0121,-85.1022,-82.3792,-85.4474,-83.4908,-86.0017,-86.3014
-26.2598,-36.1716,-43.2236,-46.9029,-48.6517,-52.5478,-54.4674,-56.2874,-57.9712,-58.4231,-60.7864,-64.6043,-67.1551,-68.5997,-68.419,-66.6427,-66.7403,-66.4516,-66.8161,-68.1603,-69.6791,-71.7888,-75.7045,-75.2185,-73.9935,-73.1509,-74.6802,-77.866,-78.4481,-76.8322,-77.5877,-81.2053,-80.0439,-80.1624,-83.3834,-81.847,-83.9345,-82.8889,-84.2826,-84.7938
-26.348,-45.0327,-52.312,-56.2417,-58.1912,-60.9025,-62.5599,-64.2836,-65.98,-58.6643,-61.4688,-69.0651,-70.4493,-72.0329,-66.1385,-65.5481,-73.79,-74.9286,-69.5802,-73.4865,-77.3541,-74.6299,-79.0678,-76.7519,-79.6904,-76.1788,-79.5697,-79.3011,-81.0864,-82.8549,-82.3364,-82.3534,-83.4342,-85.4005,-85.0129,-84.7588,-86.3896,-86.5532,-85.9866,-87.5312
-26.2866,-39.1164,-43.0507,-46.8942,-50.3952,-52.0359,-53.336,-55.7,-57.7051,-53.8864,-56.1331,-60.2878,-61.7172,-63.3768,-62.0363,-61.0466,-65.3212,-66.6043,-65.1915,-66.5237,-69.1447,-68.5592,-70.4697,-71.1592,-71.7579,-72.1048,-73.0749,-73.8243,-74.9189,-75.4295,-75.9844,-76.7254,-77.5745,-78.3588,-78.5835,-78.9602,-79.9187,-80.3184,-80.3052,-80.8375
-28.6536,-34.9457,-40.1414,-44.1956,-46.6636,-49.6647,-51.4377,-53.5154,-55.0716,-54.8369,-57.0755,-60.3142,-62.3556,-63.9523,-64.0205,-62.5101,-63.7531,-63.9096,-64.1932,-65.0149,-66.8981,-68.2392,-70.8737,-71.4528,-70.5297,-70.7217,-71.5046,-73.9701,-74.5859,-73.6021,-74.407,-77.0261,-76.7458,-76.9898,-79.156,-78.6837,-80.3008,-79.7862,-80.5431,-80.6584
-25.8504,-34.9004,-42.2156,-45.5369,-47.1686,-51.2371,-52.993,-54.3915,-55.972,-53.9122,-56.0159,-60.9303,-63.3794,-64.7555,-62.7744,-61.1685,-64.4369,-65.0484,-63.5661,-65.3936,-67.8934,-66.633,-71.3227,-69.2409,-70.6308,-69.1712,-71.1922,-72.3116,-72.9517,-73.1845,-73.8035,-75.7385,-76.2079,-77.0379,-78.975,-79.0896,-80.6033,-79.9398,-79.8802,-79.6722
-27.8376,-43.1611,-50.8872,-54.0722,-56.3835,-59.2542,-60.8901,-62.2449,-63.459,-48.8844,-52.9132,-66.4921,-68.5921,-69.9414,-58.2081,-57.7759,-71.1376,-72.9926,-61.1798,-66.4718,-72.4156,-64.3624,-75.8347,-67.176,-72.9111,-68.2951,-72.7449,-71.9803,-72.185,-74.3224,-74.3198,-74.9883,-75.942,-77.1498,-77.3131,-78.0973,-78.913,-79.4417,-79.2929,-79.7467
-29.2901,-41.5726,-45.355,-49.5643,-53.6584,-54.917,-55.8429,-58.735,-59.547,-47.1456,-50.9077,-61.8134,-64.4665,-66.9838,-56.9312,-55.928,-66.4469,-69.3299,-59.832,-63.619,-69.8103,-62.816,-70.5401,-65.9606,-69.6691,-67.2814,-70.6221,-70.2803,-70.6941,-72.2361,-72.4047,-73.3892,-74.1874,-75.1078,-75.1739,-75.891,-76.5448,-77.2652,-77.2689,-77.7553
-30.1853,-35.667,-41.0437,-45.0965,-47.804,-50.6996,-52.5973,-54.7913,-55.7671,-51.3859,-54.3042,-61.427,-64.9196,-67.5501,-61.6506,-59.6523,-64.351,-64.9782,-62.4987,-64.1093,-67.5899,-65.8615,-70.8542,-69.3266,-69.8446,-69.1295,-70.8558,-72.4063,-73.085,-72.8634,-73.4268,-75.9623,-75.9386,-76.3509,-78.1189,-77.8927,-79.1966,-78.9403,-79.4521,-79.613
-28.3454,-35.529,-43.3197,-46.7575,-48.5953,-52.5578,-54.4868,-55.9729,-56.5322,-45.6661,-49.47,-61.7601,-65.7907,-69.5338,-55.4371,-54.667,-64.8917,-66.2511,-57.604,-61.9028,-67.0258,-60.2623,-70.6257,-63.2477,-67.9518,-64.2048,-68.0572,-67.8507,-67.8558,-69.4892,-70.0008,-71.3664,-72.1454,-73.0469,-73.894,-74.6599,-75.3807,-75.2683,-75.4782,-75.5216
-32.7696,-46.0403,-55.8472,-58.107,-59.7855,-62.6432,-64.0008,-63.9153,-61.5232,-40.2783,-44.6932,-66.6128,-70.6503,-72.2789,-50.1341,-49.946,-71.4181,-74.2391,-52.9904,-59.0636,-65.7204,-55.7994,-74.1241,-58.9584,-66.1252,-60.389,-65.5996,-64.5131,-63.9197,-66.5579,-66.9432,-67.578,-68.3045,-69.1908,-69.4158,-70.7601,-71.1329,-71.649,-71.9578,-72.2403
-39.3476,-48.1463,-53.8028,-55.1978,-56.2706,-58.3704,-58.7444,-57.4165,-53.6189,-39.5902,-43.9059,-61.589,-69.0753,-67.4123,-49.4444,-49.25,-67.2202,-69.9518,-52.3358,-57.9598,-64.7154,-55.1585,-69.7826,-58.4144,-64.8736,-59.8714,-64.9456,-64.0024,-63.4692,-66.2182,-66.1857,-66.8527,-67.4633,-68.244,-68.5188,-69.9915,-70.1989,-70.6211,-71.2578,-71.0577
-33.5805,-36.4748,-41.9232,-45.6123,-48.8173,-50.7204,-52.8595,-54.0806,-52.1891,-44.9037,-48.6585,-60.96,-68.1672,-67.1886,-54.4629,-54.2286,-64.827,-65.1114,-57.0642,-61.4231,-66.0329,-60.1947,-70.5287,-63.3443,-67.808,-64.3549,-68.3211,-68.5026,-68.223,-69.6198,-69.911,-71.1942,-71.5583,-72.0836,-72.9731,-73.7808,-74.1063,-74.2891,-74.9599,-74.8888
-34.4655,-36.0795,-42.234,-46.0643,-50.134,-50.6905,-53.1964,-54.1948,-51.2339,-37.4641,-41.9363,-59.8846,-66.0088,-65.0637,-47.2372,-47.1912,-64.8444,-65.0997,-50.098,-56.0799,-61.8546,-52.9885,-69.5095,-56.0202,-62.827,-57.6644,-62.5005,-61.7346,-61.4627,-62.8472,-63.5062,-64.3525,-65.2174,-65.968,-66.5781,-67.5949,-67.5003,-68.2177,-68.112,-68.559
-38.8065,-42.6501,-46.6188,-54.0971,-59.9688,-53.8512,-57.8952,-58.321,-54.2298,-32.9376,-37.39,-62.6307,-66.4459,-65.3136,-42.61,-42.4774,-65.6473,-68.2826,-45.5401,-51.7342,-58.3135,-48.4174,-66.7819,-51.5082,-58.6534,-53.0682,-58.3278,-57.3238,-56.7478,-58.7179,-59.1152,-59.879,-60.7591,-61.6275,-61.8105,-62.7371,-63.0721,-63.8901,-63.2404,-64.0556
-35.4023,-42.4075,-45.291,-53.8629,-54.1512,-50.9296,-55.1345,-50.9948,-47.1671,-32.5436,-36.8186,-54.3728,-60.7303,-60.764,-42.1369,-41.8318,-58.5509,-63.5442,-45.3182,-50.9671,-57.4593,-48.1786,-60.9242,-51.0984,-57.1106,-52.5368,-57.1443,-56.2934,-56.1876,-58.1994,-58.6266,-59.0575,-59.793,-60.8204,-61.251,-61.3593,-61.822,-62.1619,-61.1136,-62.6436
-33.2933,-35.9741,-41.1596,-45.1588,-48.6487,-50.0136,-52.2059,-50.7978,-46.592,-38.2598,-41.8493,-54.4617,-61.7454,-62.2132,-47.6796,-47.0921,-59.2261,-62.4208,-50.6752,-55.0071,-61.2362,-53.5948,-62.3612,-56.464,-61.2236,-57.6875,-61.4557,-60.9201,-61.7221,-62.8676,-63.8065,-64.2121,-64.9506,-66.0347,-66.8119,-66.6173,-66.7534,-66.8222,-66.3532,-68.0614
-31.2658,-33.6821,-40.5137,-44.4293,-49.1286,-49.815,-51.299,-50.5259,-44.952,-31.1666,-35.5884,-52.8571,-58.4341,-59.1905,-40.9893,-40.7287,-57.7134,-60.7791,-43.5015,-49.0505,-55.8449,-46.4616,-60.7208,-49.5127,-55.994,-50.8901,-55.7771,-54.8367,-54.7081,-56.6703,-56.997,-57.8388,-59.0763,-60.0228,-59.8239,-60.9492,-61.1016,-61.595,-61.1866,-61.9761
-24.75,-32.2446,-39.0042,-46.8768,-48.9667,-47.0801,-51.4963,-49.2259,-46.5677,-26.8055,-31.2875,-55.6694,-56.2156,-55.9472,-36.6038,-36.4055,-55.4887,-59.1858,-39.3636,-45.3966,-52.1091,-42.3252,-59.406,-45.2883,-52.1198,-47.0712,-51.7492,-50.4918,-50.6895,-51.642,-52.0698,-53.1618,-54.7037,-56.2214,-55.7702,-56.3084,-56.9892,-57.0256,-56.1734,-56.6571
-21.465,-27.3941,-33.6522,-44.7719,-43.2492,-42.8914,-48.8751,-44.3542,-39.7912,-26.6325,-30.9156,-50.1781,-56.6173,-57.8413,-36.4616,-36.0402,-51.3113,-56.1509,-39.0441,-44.3114,-51.1851,-41.9168,-54.1103,-45.2761,-50.6967,-47.2124,-51.1979,-49.864,-50.047,-49.5063,-50.987,-51.5006,-53.0381,-55.1438,-55.5434,-55.6986,-56.1406,-55.4838,-54.6087,-55.454
-26.1079,-31.2691,-36.4153,-44.691,-44.4783,-44.1994,-48.3819,-45.702,-40.4307,-32.4059,-36.1147,-49.6491,-57.67,-60.5714,-41.9888,-41.4094,-52.7936,-57.1845,-44.426,-48.6208,-54.8488,-47.0584,-55.6944,-50.1186,-54.035,-51.9619,-55.1781,-54.5617,-54.5639,-53.7989,-54.7979,-56.443,-57.679,-59.1315,-60.6922,-61.6868,-61.1087,-60.3078,-57.816,-60.0071
