f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39
-46.0972,-50.1798,-53.4454,-57.5369,-60.1714,-62.3255,-64.4457,-65.862,-66.5037,-67.0561,-71.4642,-73.4705,-74.9977,-77.4212,-78.0111,-78.457,-83.1608,-84.9261,-83.8441,-85.7466,-87.4586,-85.2495,-85.3627,-84.3688,-83.423,-84.1177,-85.654,-87.9512,-90.9259,-92.5571,-93.497,-91.3246,-89.9406,-91.3188,-94.3355,-95.7787,-93.498,-92.8486,-95.4577,-98.1966
-32.3047,-36.5382,-42.0877,-45.7803,-48.4906,-50.8558,-52.8836,-54.4634,-55.2773,-55.5605,-59.3336,-61.6324,-63.2971,-65.6156,-66.1877,-67.8581,-74.1559,-77.4748,-77.7881,-79.3262,-79.7114,-75.0852,-73.585,-73.2077,-72.2264,-73.1596,-74.3249,-76.5057,-80.6697,-86.3908,-85.2795,-80.4751,-79.1553,-80.4926,-85.1124,-88.4277,-83.142,-82.3821,-86.5123,-93.534
-29.504,-36.137,-42.6163,-46.0296,-49.0986,-51.3504,-53.3235,-54.8063,-56.144,-56.0012,-58.8652,-61.2356,-62.9453,-64.7916,-65.3473,-65.8675,-69.7497,-71.4381,-71.6644,-72.5208,-73.9376,-73.0851,-72.6323,-72.9511,-72.479,-73.4649,-74.4475,-76.157,-78.6822,-80.7298,-81.0346,-79.6349,-79.2097,-80.2394,-82.6714,-84.1623,-82.4048,-82.1686,-84.4004,-86.2419
-34.5367,-41.6036,-46.9335,-50.4879,-53.1319,-55.3357,-57.19,-58.7806,-60.6416,-60.7654,-61.2175,-63.4456,-64.8727,-66.2202,-67.0929,-66.5436,-68.6684,-69.9391,-70.3878,-71.074,-72.5419,-73.3942,-74.016,-75.3643,-75.88,-77.0914,-77.5524,-78.4054,-78.9767,-79.3952,-80.2008,-81.1335,-82.0879,-82.5758,-82.7139,-83.2497,-83.9899,-84.5644,-84.5733,-84.7215
-44.2518,-48.955,-52.4344,-55.9425,-58.9691,-60.8323,-63.0478,-64.2806,-65.3897,-65.8588,-69.0923,-70.8577,-72.4789,-74.3321,-75.1074,-75.189,-78.1177,-79.4928,-79.5471,-80.6319,-82.0933,-81.8414,-82.2471,-82.312,-81.8709,-82.7269,-83.9259,-85.6797,-87.4751,-88.4332,-89.3079,-88.7983,-88.2874,-89.3715,-91.1368,-92.0517,-91.268,-91.089,-92.6159,-93.9473
-31.3099,-36.2577,-42.0186,-45.8445,-47.9624,-50.8285,-52.7911,-54.2881,-55.0443,-55.4404,-58.9848,-61.2811,-63.0548,-65.0867,-66.0548,-67.2467,-72.3881,-74.9415,-75.7158,-76.7837,-77.4135,-74.2157,-73.0793,-72.7558,-71.9894,-72.8056,-74.039,-76.0755,-79.826,-84.3729,-83.8175,-80.0831,-78.9062,-80.1999,-84.3709,-86.9154,-82.6304,-81.9714,-85.6667,-90.8262
-26.3159,-36.2494,-43.1657,-46.9446,-48.4579,-51.8495,-53.6829,-55.1628,-55.9532,-56.0298,-58.6121,-61.5121,-63.3706,-65.0231,-65.7406,-65.6879,-69.768,-71.6077,-71.6401,-72.8839,-74.3111,-72.7984,-72.7565,-72.3499,-72.5528,-72.6059,-74.37,-75.8299,-78.5853,-81.0445,-80.9652,-79.7724,-79.359,-80.4091,-82.8522,-84.2998,-82.1139,-81.7039,-84.2919,-86.3874
-27.261,-45.2447,-52.5719,-56.6866,-58.518,-61.1139,-62.8836,-64.6447,-66.2529,-58.2817,-61.1021,-69.1825,-70.6162,-72.159,-66.1778,-65.496,-74.0557,-75.4636,-70.1346,-73.8921,-77.719,-74.6744,-79.0933,-75.6487,-79.3434,-75.6275,-80.3107,-80.3097,-81.7079,-81.8553,-81.653,-82.7569,-84.6568,-84.8325,-83.8659,-85.818,-85.8841,-85.5196,-86.972,-86.1469
-27.8225,-39.1786,-43.294,-47.2119,-50.6911,-52.2111,-53.5311,-56.0366,-57.9189,-53.9638,-56.0205,-60.3996,-61.7842,-63.4947,-62.4323,-61.2283,-65.6046,-67.0538,-65.9761,-66.917,-69.543,-69.0553,-70.4447,-71.0147,-71.7519,-72.098,-73.5573,-74.512,-75.1158,-75.607,-76.3237,-77.04,-77.9558,-78.4662,-78.6639,-79.4855,-80.1002,-80.2466,-80.8039,-80.7229
-28.9931,-35.0815,-40.1733,-44.2401,-46.5244,-49.1619,-50.8467,-52.7785,-53.5986,-53.3568,-55.6455,-58.5213,-60.1596,-61.8981,-62.6871,-62.1754,-65.7515,-67.3781,-67.577,-67.827,-69.8798,-69.0309,-69.2524,-69.696,-69.5499,-70.4036,-71.4684,-72.9614,-74.8311,-76.4696,-77.1483,-76.5651,-76.44,-77.3605,-79.162,-80.0427,-79.0489,-78.8681,-80.6401,-82.0346
-25.6993,-35.2474,-42.2893,-45.8596,-47.3032,-50.8722,-52.6446,-53.9851,-54.8579,-53.2095,-55.2513,-59.5579,-61.7025,-63.105,-62.1649,-61.0415,-66.3668,-68.1471,-65.2495,-67.3415,-70.2771,-66.9073,-69.8792,-68.2234,-70.0688,-69.035,-71.4888,-72.2437,-73.6054,-75.8753,-76.533,-76.8089,-77.1432,-78.0073,-78.8649,-79.2706,-78.3367,-78.2121,-79.8584,-81.5786
-26.9991,-43.147,-50.5255,-54.1396,-56.3796,-58.9901,-60.7406,-62.3772,-63.7886,-49.4486,-53.3593,-66.2141,-68.263,-69.764,-58.7899,-58.2738,-71.0459,-72.6369,-61.8586,-66.9243,-72.5925,-65.0742,-75.2358,-67.5424,-73.2233,-68.6981,-73.3994,-72.8416,-72.9489,-74.8604,-74.9234,-75.7272,-76.8967,-77.7031,-77.4211,-78.5058,-78.9501,-79.099,-79.8131,-80.0167
-27.2987,-38.8268,-42.9664,-47.0694,-50.438,-51.9575,-53.2527,-56.102,-57.8264,-47.5981,-50.8429,-59.2713,-61.236,-63.5779,-57.4737,-56.1218,-64.0717,-66.2345,-60.6491,-63.2428,-67.7935,-63.617,-68.2641,-66.3011,-68.7682,-67.6412,-69.9099,-70.5313,-70.8863,-71.9833,-72.4811,-73.0607,-74.079,-74.8077,-74.9406,-75.7321,-76.3981,-76.6494,-77.1365,-77.3269
-28.8212,-34.912,-40.0205,-44.1628,-46.3935,-49.0408,-50.7165,-52.7297,-53.4822,-50.8062,-53.0862,-57.779,-59.7925,-61.9352,-60.7605,-59.0609,-64.2496,-66.7206,-64.4708,-65.0561,-68.6239,-66.1238,-67.706,-67.6655,-68.1283,-68.5863,-69.8143,-71.1637,-72.5356,-74.1301,-74.9498,-74.882,-75.1494,-76.0182,-77.1161,-77.5907,-77.0406,-77.0859,-78.4241,-79.8192
-26.1052,-34.8015,-42.0161,-45.7362,-47.0379,-50.6382,-52.4715,-53.8718,-54.4268,-47.0864,-50.1844,-58.485,-61.047,-63.074,-56.5558,-55.4077,-64.3417,-67.5982,-59.0642,-62.7609,-67.789,-60.9957,-67.9927,-63.2918,-67.2419,-64.6842,-68.242,-68.3052,-68.699,-70.8395,-71.747,-72.7037,-73.3541,-74.0357,-74.187,-74.4551,-73.967,-74.3444,-75.2591,-76.8279
-28.92,-43.8176,-51.793,-55.1094,-56.9685,-59.9377,-61.5708,-62.801,-62.5172,-42.0647,-46.3902,-65.3139,-68.3865,-70.6986,-51.8929,-51.6061,-69.8141,-72.8718,-54.7752,-60.6833,-67.179,-57.6433,-73.5516,-60.4729,-67.4374,-62.0316,-67.0603,-66.0877,-65.6318,-67.6481,-68.0755,-68.9552,-69.8673,-70.6143,-70.7107,-71.7174,-71.7872,-72.3565,-72.5368,-72.9063
-35.416,-48.8978,-52.8083,-56.3999,-59.0317,-61.0745,-60.3405,-59.8058,-57.3166,-41.6716,-45.9238,-62.2431,-68.8748,-72.7901,-51.6182,-51.2173,-67.5357,-71.7972,-54.4959,-59.9794,-66.2085,-57.5113,-70.7175,-60.4505,-66.6779,-61.9892,-66.3989,-65.5868,-65.2716,-67.358,-67.2827,-68.1523,-69.1414,-69.9567,-69.8832,-70.9656,-71.2041,-71.7601,-71.9889,-71.9256
-33.0797,-36.3398,-42.1,-45.6142,-48.5997,-50.6774,-52.3414,-53.6538,-53.237,-46.9608,-50.42,-59.3755,-62.5808,-65.1724,-56.6814,-56.2007,-67.3719,-71.4331,-60.0207,-64.1431,-69.3981,-62.7079,-69.4588,-65.1018,-68.2992,-66.2952,-69.3799,-69.6245,-70.0961,-72.5063,-72.1712,-72.6311,-73.0884,-73.9454,-74.4912,-75.5178,-75.2251,-75.4686,-76.5648,-76.7744
-33.5147,-36.1296,-43.6078,-46.8673,-50.3259,-51.9129,-53.7331,-54.9507,-53.2107,-40.6278,-44.7871,-60.0885,-63.7276,-65.5065,-50.2931,-50.0894,-67.4213,-70.784,-53.3,-58.9932,-65.459,-55.9052,-69.257,-58.6896,-64.8412,-60.3501,-65.1515,-64.3253,-63.8691,-67.5436,-66.9606,-67.5262,-68.2759,-68.8761,-69.2436,-70.055,-69.8813,-70.3417,-70.4157,-71.3908
-42.3757,-47.4963,-54.5399,-57.2599,-57.7975,-62.9552,-65.0272,-64.7073,-59.1901,-36.3064,-40.7852,-65.06,-70.1018,-70.8318,-46.1946,-46.0386,-69.8072,-71.2961,-49.3141,-55.4013,-61.65,-51.9511,-70.7426,-54.9575,-62.029,-56.5707,-61.7678,-60.6714,-59.946,-63.0287,-62.5978,-63.551,-64.7864,-65.1594,-65.0067,-66.2685,-66.5131,-66.7421,-65.7834,-67.5116
-39.349,-46.0352,-49.9324,-53.7722,-54.8401,-57.7881,-58.2139,-57.6285,-51.7654,-36.3405,-40.6855,-57.1058,-64.6802,-68.0298,-46.3066,-46.0481,-63.3792,-66.7309,-49.4951,-54.6727,-60.4417,-52.3835,-64.9962,-55.1293,-61.3021,-56.9949,-61.2026,-60.9365,-59.6763,-62.3219,-62.2247,-63.8517,-65.1737,-64.7669,-64.0509,-65.7043,-65.9749,-66.192,-65.1659,-67.3347
-32.7409,-36.2764,-41.8776,-45.5193,-48.6083,-50.2995,-52.0097,-52.9909,-50.467,-42.3501,-45.8847,-56.3788,-61.0979,-64.3071,-52.1843,-51.5836,-63.1894,-67.5658,-55.5004,-59.0932,-64.3827,-58.3509,-65.547,-60.4126,-64.4668,-62.2263,-65.1122,-65.8982,-64.8734,-67.1867,-66.7335,-68.81,-70.134,-69.8285,-69.008,-70.2841,-70.0893,-70.3237,-70.1374,-72.4835
-31.5371,-34.9824,-41.8326,-46.0026,-49.9572,-50.9331,-53.0468,-53.5826,-49.8737,-36.9167,-40.8179,-56.1314,-60.0672,-63.2404,-46.1744,-45.7483,-60.6646,-64.9245,-49.4498,-54.908,-60.7492,-51.7814,-64.1382,-54.2452,-60.4611,-56.4582,-60.7336,-60.1748,-59.0646,-59.5129,-59.0077,-61.5482,-63.3305,-63.5661,-64.2997,-64.9388,-63.316,-63.6329,-62.7696,-64.3508
-27.9337,-33.7693,-41.8933,-47.1256,-48.6236,-48.5225,-53.1821,-53.9751,-52.5583,-33.6191,-37.981,-58.4301,-58.137,-58.7128,-42.999,-42.6878,-60.8376,-64.4139,-46.1108,-51.9865,-58.155,-48.6162,-60.5282,-51.1962,-57.823,-53.7733,-57.8634,-57.0973,-55.8141,-54.542,-54.673,-57.4897,-59.0612,-59.3254,-59.5782,-59.7993,-58.9447,-58.8155,-56.7582,-59.2546
-31.2265,-32.7994,-41.0662,-42.4176,-42.0044,-44.8022,-48.7019,-50.4436,-48.5678,-35.1455,-39.0527,-55.6288,-54.7024,-56.5152,-44.2736,-43.4481,-57.2113,-63.9792,-46.9405,-51.7018,-59.3641,-49.6276,-57.9855,-53.1373,-58.0898,-54.7304,-57.4803,-56.8188,-56.2039,-53.2571,-54.2572,-57.7243,-58.5849,-58.8396,-57.5131,-57.9342,-57.947,-58.2898,-54.7655,-58.4512
-26.7318,-32.9246,-37.9081,-42.5978,-42.6466,-46.7006,-49.8553,-50.204,-48.3517,-42.2292,-45.1227,-54.4949,-57.3037,-58.7382,-50.9122,-49.2733,-57.8626,-63.9022,-54.0947,-56.4219,-63.5146,-55.8559,-60.2431,-58.2421,-61.614,-60.498,-61.7513,-61.653,-61.5329,-57.6833,-58.3088,-63.0833,-63.678,-63.9601,-62.529,-62.9661,-62.4425,-62.1653,-59.137,-63.2684
