filename,genre,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
Copy of blues4.mp3,blues,0.30019796,0.114087336,0.14469123,0.0072721196,1126.176269,886069.1332,1615.865408,929871.1238,2130.895448,5047504.92,0.02278009657,0.0004016554951,0.12950285,0.0051159183,0.07150125963,0.04413437475,139.6748311,-294.459,8344.193,129.44298,1616.3556,23.655088,1903.8486,37.437916,616.5312,29.384651,279.26166,19.464191,178.69684,8.463981,134.81299,4.6051645,92.5737,-2.0651152,104.75492,1.1431326,75.055855,3.8643913,55.413216,1.6510097,73.73164,-1.1561925,89.1347,1.0592088,85.630356,6.2763786,115.43242,4.179262,190.86156,3.452106,173.48611,-0.40291008,77.55182,-1.7615759,67.41757,-2.6973267,73.97668
Copy of blues10.mp3,blues,0.36113626,0.10331269,0.110409,0.0025111954,861.7104827,102805.5686,1657.731586,305207.38,1292.975515,524063.4252,0.01529091283,2.88E-05,0.09440678,0.001448289,0.03306136821,0.01588622846,112.3471467,-305.80817,2408.233,177.29688,476.33002,28.001348,280.06952,27.968042,224.64299,12.915641,114.06879,18.188465,100.69128,12.175859,90.34445,6.4424024,71.8366,0.27064285,48.899857,-4.4930015,59.43376,-5.0316153,55.276375,-4.464348,59.167847,-4.205468,44.48726,-3.4586086,70.11834,-2.7467313,46.234463,-6.9800177,45.09239,-6.576747,50.87876,-5.80527,47.97652,-4.2164245,43.57212,-7.190184,71.14927
Copy of blues5.mp3,blues,0.4320793,0.0832388,0.15385155,0.0045336196,1619.365002,551956.8242,2558.907454,732200.5575,3266.10525,4557639.336,0.03013606116,0.0003088622696,0.12357724,0.002790085,0.07368250523,0.02572626743,120.1853198,-199.15857,6280.434,175.17436,824.0329,-6.777628,600.64185,40.293526,291.64752,9.339081,189.51431,12.633578,168.77022,-9.993764,112.6451,9.5950775,213.20578,-0.1425897,85.491974,2.079049,100.52826,-7.8418016,59.07988,-0.33225724,64.69203,-8.65117,39.89385,0.8331557,65.856445,-6.0530868,53.020836,1.0737953,42.034275,-5.0129976,41.18495,-4.371581,58.091476,-7.5287075,42.638268,-6.2466116,42.48304
Copy of blues8.mp3,blues,0.39217934,0.101961404,0.091587536,0.004948827,1088.511304,1181170.114,1373.013324,1054245.983,2123.262161,5634430.709,0.02242352276,0.0006150674182,0.07957802,0.0038223946,0.01671924923,0.0500472304,126.0480183,-346.6626,11842.058,158.90623,2417.0527,25.908478,2503.2227,28.841969,679.6594,16.100998,335.33804,13.019232,250.27965,0.270359,106.93515,0.12616222,115.569336,-2.860423,114.89,-3.1505587,131.19838,-4.3597546,105.967834,-4.345462,77.36417,-3.48335,78.82471,-6.2058797,90.1769,-6.8302937,97.91194,-9.477282,65.72779,-8.6626005,71.52292,-8.728339,59.51187,-5.421875,58.732506,-5.6920195,51.2433
Copy of blues9.mp3,blues,0.3708499,0.118610576,0.098804206,0.005693206,1152.785633,1691029.089,1480.333999,1633244.085,2185.736783,7837054.108,0.02470808944,0.001249119504,0.08938056,0.004997744,0.07667820231,0.05171149564,172.265625,-373.34167,7839.3677,118.45795,1689.462,34.83612,1467.1039,32.06414,698.807,22.125341,245.52145,14.500269,209.42497,1.0336694,284.44528,4.329385,244.76093,-2.1331873,168.15341,2.3861544,168.71744,4.3099723,118.72617,10.61069,122.07856,10.358723,128.93983,6.83498,157.74376,8.907009,215.6072,6.5093575,224.4556,1.8949058,191.96399,-3.0077672,275.37564,-1.3912642,185.7256,-3.3601804,159.16391
Copy of blues3.mp3,blues,0.32986102,0.11168869,0.19808719,0.006700792,1789.446362,1665895.693,2709.049751,1363317.353,3812.543613,13008303.84,0.02974131676,0.00079469961,0.18018544,0.005028094,0.05809322037,0.05209468662,75.99954044,-243.89754,6411.6743,138.10513,1156.0306,12.46094,1465.4814,42.30098,451.75775,27.812836,536.935,31.586143,231.19179,-4.1247883,199.47551,11.936456,121.21747,-1.2450712,109.93397,10.489245,69.786194,2.319238,64.782906,1.4477762,60.457382,-0.8307291,68.44682,-4.0827603,61.645184,0.7971568,61.618156,-2.6996202,84.34921,8.649172,142.73622,3.7591612,233.13931,10.541156,254.89546,3.3455882,231.76889
Copy of blues7.mp3,blues,0.39215875,0.08406938,0.101641156,0.0028232823,1393.873909,257635.9232,1340.67438,78238.70094,2827.824567,864235.6025,0.05574418295,0.0009490694818,0.087027475,0.0017452145,0.05032369076,0.05305062821,129.1992188,-275.95892,5203.286,206.15596,1023.554,-45.487465,1225.0035,23.703905,360.08704,48.250664,181.49194,-6.9993076,205.11745,1.5167786,49.34487,12.074596,83.42518,-7.4026084,89.77753,-7.6773367,56.53812,2.6587324,59.36721,-7.262251,41.753796,-5.8406415,75.79007,-0.5417542,71.89714,-15.456953,71.68874,-16.539358,61.829807,-3.489429,66.67233,,114.36529,-2.51595,129.26547,-5.1683655,103.8458
Copy of blues6.mp3,blues,0.4050252,0.100114666,0.31219175,0.011932254,1294.383887,551341.7387,1928.811724,733400.5406,2615.06752,3242108.417,0.02208225498,0.0002391838266,0.27761403,0.011989131,0.04741087226,0.02274913902,166.7086694,-161.90813,4155.8555,188.90295,1055.6373,-10.175333,914.2629,30.61663,304.368,19.687946,419.04507,8.873762,171.37537,2.6103241,78.717804,4.1588545,81.60233,-5.615876,74.379005,0.2845832,57.77567,5.9480925,55.88824,-1.6759821,51.758816,-5.949458,41.178635,0.6826125,34.101906,-0.40708154,32.054485,-10.112813,31.252192,-4.4359293,30.624208,5.725892,36.741875,-0.16864552,35.839394,-6.273702,31.380512
Copy of blues2.mp3,blues,0.37294966,0.100634515,0.109652184,0.00324757,2297.297633,1710036.852,2916.616554,914600.1128,4937.995141,8584007.409,0.04230718937,0.001492650662,0.093828976,0.002255603,-0.04400691268,0.02948649071,156.6051136,-251.59116,6433.8203,119.39358,1157.8239,-11.783428,592.82227,53.03159,276.27048,13.106463,370.69748,32.80688,149.09717,8.521625,217.7502,19.85357,110.71474,2.6260052,112.41723,1.1952362,113.87674,0.803351,108.22776,6.6231823,137.17209,-4.0025115,172.84996,-1.5190825,140.16113,0.5462198,91.571556,-2.596214,157.04564,-4.016453,208.73848,-9.081863,111.549225,-4.874921,121.1116,-12.078151,98.189545
Copy of blues1.mp3,blues,0.33408654,0.11213457,0.17471455,0.0054062945,1584.488632,1023861.582,2449.226082,1807532.44,3323.304904,9784577.511,0.02815364684,0.0003346810904,0.15054952,0.004131721,0.03969350642,0.0283012057,161.4990234,-241.2906,7118.762,156.98785,1271.3394,16.10556,1556.391,29.827309,423.0922,22.895744,300.8001,19.914503,206.03749,-1.4976176,186.99742,11.937045,181.95409,-5.746182,146.87315,9.025982,180.76927,-0.0014223979,155.88522,4.7685995,112.0868,-3.128427,117.496544,-2.5521379,118.59155,-1.4329311,106.58181,-6.752781,85.630356,0.85549825,136.14185,-2.5976357,156.25702,0.2635346,95.76153,-1.8652076,110.48839
Copy of classical1.mp3,classical,0.3435033,0.105327725,0.027307132,0.0015237442,952.4376344,468848.6047,1518.73798,826099.4912,1674.748206,2847140.65,0.01783095794,0.0002212534731,0.022884091,0.0008560943,0.05319968814,0.0206588066,161.4990234,-441.18008,12401.729,117.25544,4325.4497,23.243494,1382.3684,17.055376,462.7782,12.249423,222.77136,1.3364072,154.66345,-3.8255856,144.78052,-1.3651385,95.901146,-3.0865464,112.60809,-4.5526476,102.52468,-4.607154,73.26387,-7.3302913,75.92481,-8.571706,71.669945,-7.944001,52.384815,-6.9757075,41.94599,-5.2820396,32.371,-2.8983967,28.663687,-3.52133,26.450024,-3.3981636,26.514025,-4.637919,29.581158
Copy of classical2.mp3,classical,0.29191208,0.098296784,0.05915464,0.0012418105,817.1848437,438070.1866,1397.025215,780323.7673,1381.658312,2198408.749,0.01637499546,0.0002484058312,0.056838255,0.0011855795,-0.0002947017198,0.05414805547,139.6748311,-380.27396,7057.107,147.54346,3946.8486,24.912968,464.73694,12.606923,210.51926,15.590541,177.0065,15.710965,114.60797,6.2859497,64.943634,3.7990882,67.40516,-4.2811027,70.00011,-8.612403,101.228065,-7.3959274,72.96238,-9.121664,59.84434,-11.573987,75.6206,-12.151343,76.815155,-5.6513333,69.63422,-2.7512612,60.441097,-7.905556,74.00694,-10.315043,88.046135,-5.637554,54.85371,-2.1257517,59.895573
Copy of classical7.mp3,classical,0.283462,0.09785383,0.041030627,0.0011878196,785.7094268,205779.172,1106.329403,368267.5844,1225.425923,962485.0144,0.02139102711,0.0001581301592,0.039096188,0.0011374926,0.0466339831,0.03248750759,103.359375,-403.85904,5251.4517,147.91373,2934.8672,33.55852,625.60785,12.165103,164.30063,10.95878,116.519806,5.273923,74.4216,-3.3667548,68.98278,-5.776581,55.87223,-5.433782,64.01617,-11.673517,106.9583,-11.433417,124.23931,-9.108757,138.39459,-7.151677,130.70763,-6.3466735,102.627815,-8.938109,102.759796,-10.8612795,143.1713,-10.407921,97.21968,-4.725825,55.587208,-0.5956755,52.623184,0.30954987,52.28187
Copy of classical18.mp3,classical,0.31424633,0.100148484,0.03843926,0.0004466571,563.2018527,22895.61982,743.0210888,89060.94404,884.5113181,52185.55082,0.01742034062,3.74E-05,0.035764515,0.00043186813,0.01924240168,0.02938659129,139.6748311,-423.58945,1750.8677,182.95605,765.4777,60.45165,474.26355,8.888314,154.74767,3.6789136,78.81864,1.25912,51.827763,-2.8264549,65.40429,-1.3180513,52.731583,5.6801753,56.84006,7.009167,58.13362,3.0690777,56.79641,0.9854773,40.622715,-3.2758324,63.616745,-8.575435,64.6701,-8.337147,45.526016,-6.2901764,50.0619,-4.90722,62.88979,-4.043797,85.426994,-5.335528,76.53408,-4.7866383,74.677315
Copy of classical6.mp3,classical,0.47232985,0.10245129,0.017697625,0.00032471414,1802.127218,1788928.792,2499.956188,2414342.688,4418.123284,16170652.44,0.03270766314,0.0004062019119,0.016217662,0.00027388395,0.06469666409,0.02229642338,120.1853198,-526.5924,9124.153,151.19218,5102.712,44.80099,376.03934,16.850502,172.94865,7.057822,66.80317,10.29029,56.837837,4.0073323,67.312805,1.5255078,72.08406,1.2071089,56.640553,-2.0392432,54.628433,-0.89750516,47.78891,-3.5223377,56.290253,-2.3017473,58.006065,-1.040351,40.58882,-2.0381362,31.745121,-2.615703,39.272045,-4.0595303,39.461277,-3.9136596,41.461426,-3.6083124,31.09323,-2.4310362,28.201796
Copy of classical5.mp3,classical,0.4168574,0.09483317,0.03354444,0.00019170094,596.3448991,52113.1375,871.0128209,97370.53548,997.9106324,219886.0882,0.01461480203,4.16E-05,0.031746205,0.00017364435,0.01952015983,0.04738190542,107.6660156,-441.9135,1783.3036,194.1271,526.45416,43.829224,560.59015,10.928971,185.0623,8.379472,93.34538,2.2711744,91.81001,8.148756,90.07356,12.379792,61.778976,5.306534,39.392937,-7.1440845,43.224808,-7.789078,64.29548,-4.1652913,51.561283,-5.554915,57.562637,-10.943776,56.43721,-18.211945,42.010494,-14.000848,47.28646,-7.553579,40.063023,-9.345904,41.043278,-5.8906727,47.764744,-2.578202,56.897583
Copy of classical8.mp3,classical,0.33132976,0.09243308,0.030477362,0.00041389946,2091.390275,1288776.048,3085.835842,693075.3556,4031.82562,9217614.093,0.03995516278,0.000738082075,0.027954314,0.00035825282,0.0630710633,0.02833597118,114.84375,-369.26,3752.9775,156.56529,1644.3496,12.07945,336.23788,22.821194,169.13141,-7.7624087,80.002235,17.284134,51.421234,-11.103256,62.5035,6.2795086,62.63973,-10.368164,80.74025,6.734349,48.568775,-3.9591072,56.55417,4.0819488,60.13489,1.516535,52.628723,2.3471146,81.49272,-0.7240027,87.92081,-2.717412,73.47801,-2.9135742,82.18312,-10.7364025,89.27772,-5.075103,82.37954,-8.096928,75.62976
